Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
"Brunnenkresse, roh",pro 100g essbarer Anteil,71,17,0.2,0.1,0,0.1,0,0.3,0.3,0,2.6,2.2,0.1,93.5,,,,,,,,,,,,,,,,,,,,,53,1.3,2,0.2,k.A.
Brunsli,pro 100g essbarer Anteil,2150,515,29.9,5.7,16.4,5.4,0,43.3,39.4,3.3,6.8,14.8,0.1,7.6,,,,,,,,,,,,,,,,,,,,,270,3.1,1.5,2,k.A.
"Buchweizen, Korn geschält",pro 100g essbarer Anteil,1470,346,1.7,0.4,0.6,0.6,0,71,0.4,70.6,3.7,9.8,0,12.8,,,,,,,,,,,,,,,,,,,,,320,3.8,0.5,2.7,k.A.
Buchweizenmehl,pro 100g essbarer Anteil,1470,348,2.2,0.3,0.5,0.6,0,68.4,0,68.4,4.2,11.5,0,12.1,,,,,,,,,,,,,,,,,,,,,260,2.5,2.5,2.3,2.8
Bündner Gerstensuppe,pro 100g essbarer Anteil,175,42,0.9,0.5,0.3,0.2,1,6.7,1.3,5,0.5,1.4,0.9,91,,,,,,,,,,,,,,,,,,,,,34,0.5,4.2,0.3,k.A.
Burger mit Fisch,pro 100g essbarer Anteil,1100,262,11.5,4.9,2.9,3,26,26.7,3.9,21.8,1.5,12.2,1.1,46.1,,,,,,,,,,,,,,,,,,,,,140,0.5,12,0.6,20
Burger mit Poulet,pro 100g essbarer Anteil,1040,247,11,1.9,5.8,2.7,28,23.8,2.9,18.4,1.2,12.7,1.2,49,,,,,,,,,,,,,,,,,,,,,170,0.6,1.5,0.7,20
Bürli (halbweiss),pro 100g essbarer Anteil,912,215,1,0.2,0.2,0.5,0,41.5,0.4,40.9,2.9,8.6,1.9,46.7,,,,,,,,,,,,,,,,,,,,,110,1.3,1.1,1,2.7
"Buttergipfeli, hell",pro 100g essbarer Anteil,1800,432,24.2,14.2,5.7,1.5,77,43.5,3.3,39.8,2.6,8.7,1.2,21.6,,,,,,,,,,,,,,,,,,,,,120,1,3.1,0.9,3.6
"Buttergipfeli, Vollkorn",pro 100g essbarer Anteil,1540,368,19.7,11.5,4.6,1.3,63,38.7,2.2,36.2,4.2,6.8,1.1,31.1,,,,,,,,,,,,,,,,,,,,,110,1,2.5,1,2.2
Buttermilch,pro 100 ml,145,34,0.5,0.3,0.1,0,1,4,4,0,0,3.4,0.1,90.5,,,,,,,,,,,,,,,,,,,,,90,0.1,7.3,0.5,k.A.
Butterweggli,pro 100g essbarer Anteil,1300,309,8.7,4.9,2,0.8,23,47.3,3.4,43.2,2.2,9.4,1.6,33.1,,,,,,,,,,,,,,,,,,,,,130,1.1,k.A.,0.9,2
Butterzopf,pro 100g essbarer Anteil,1370,325,11.4,6.5,2.6,0.9,41,45.7,2.9,42.4,2.1,9,1.5,32.5,,,,,,,,,,,,,,,,,,,,,90,0.5,5.4,0.6,2.5
"Butterzopf, Vollkorn",pro 100g essbarer Anteil,1150,272,6.4,3.2,1.4,1.2,20,40.4,0.9,39.5,7.3,9.5,1.2,36.9,,,,,,,,,,,,,,,,,,,,,240,3.3,2.6,2.3,3.7
"Café crème, ungezuckert",pro 100 ml,55,13,1.1,0.7,0.3,0.1,4,0.5,0.3,0,0.1,0.3,0,98,,,,,,,,,,,,,,,,,,,,,8.7,0,0.9,0,k.A.
Cake Financier,pro 100g essbarer Anteil,1840,440,26.1,8,11.5,3.8,31,38.5,29.9,8.3,3.3,11,0.1,22.4,,,,,,,,,,,,,,,,,,,,,150,1,1.9,1,2.8
Calimocho (Rotwein mit Cola),pro 100 ml,228,55,0,0,0,0,0,5.2,5.1,0,0,0.1,0,90,,,,,,,,,,,,,,,,,,,,,15,0.5,6,0.1,k.A.
"Camembert, halbfett",pro 100g essbarer Anteil,785,188,10,6,2.4,0.5,30,0,0,0,0,24.4,1.5,58.5,,,,,,,,,,,,,,,,,,,,,410,0.3,20,3,k.A.
"Camembert, Rahm",pro 100g essbarer Anteil,1470,355,31.7,19,7.5,1.5,95,0,0,0,0,17.1,1.2,47.6,,,,,,,,,,,,,,,,,,,,,260,0.2,6.8,1.6,k.A.
"Camembert, vollfett",pro 100g essbarer Anteil,1230,297,23.7,14.2,5.6,1.1,71,0,0,0,0,20.8,2.2,52.1,,,,,,,,,,,,,,,,,,,,,260,0.1,20,2.2,k.A.
"Cannelloni mit Fleischfüllung, zubereitet",pro 100g essbarer Anteil,740,177,9,4.8,2.7,0.5,34,13.7,2.3,11.3,1.7,9.5,0.7,66.3,,,,,,,,,,,,,,,,,,,,,120,1,4.7,1.7,k.A.
"Cannelloni mit Spinat-Ricotta-Füllung, zubereitet",pro 100g essbarer Anteil,918,220,14.2,8.2,3.7,0.8,38,14.5,1.7,12.6,1.7,7.8,0.8,61.9,,,,,,,,,,,,,,,,,,,,,160,0.9,10,0.9,k.A.
"Cappuccino (ohne Schokoladenpulver), ungezuckert",pro 100 ml,155,37,2.2,1.3,0.5,0.1,8,2.6,2.5,0,0,1.7,0.1,93.4,,,,,,,,,,,,,,,,,,,,,50,0,5.2,0.2,0.6
"Capuns, zubereitet",pro 100g essbarer Anteil,686,164,10.2,5.1,3.2,0.8,59,9.6,1.1,8.5,0.9,8.1,1,71.3,,,,,,,,,,,,,,,,,,,,,85,1,7.3,1,k.A.
Cashewnuss,pro 100g essbarer Anteil,2460,593,45.2,7.8,23.8,7.8,0,23.2,3.1,20.1,3.6,21.5,0,4.6,,,,,,,,,,,,,,,,,,,,,540,5.9,5,4,15
Cervelat,pro 100g essbarer Anteil,1030,249,21.5,8.2,9.7,1.7,51,0.5,0.5,0,0,13.4,2.1,61.8,,,,,,,,,,,,,,,,,,,,,190,0.8,0.4,1.6,6.8
Champignon (Konserve),pro 100g essbarer Anteil,77,19,0.3,0,0,0.1,0,0.5,Sp.,Sp.,2.5,2.2,0.9,92,,,,,,,,,,,,,,,,,,,,,69,0.8,18,0.5,k.A.
"Champignon, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,122,29,0.3,0.1,0,0.2,0,1.2,0.3,0.2,2.3,4.2,0,93.2,,,,,,,,,,,,,,,,,,,,,120,1,21,0.6,k.A.
"Champignon, roh",pro 100g essbarer Anteil,107,25,0.3,0,0,0.1,0,1.1,0.3,0.2,1.9,3.7,0,92,,,,,,,,,,,,,,,,,,,,,110,1,18,0.5,k.A.
Cheeseburger,pro 100g essbarer Anteil,1180,281,14.2,7.5,4.9,1.1,36,24.3,3.3,20.9,1.6,13.2,1.6,44.1,,,,,,,,,,,,,,,,,,,,,240,1.4,7.7,2.2,6.6
Chia-Samen,pro 100g essbarer Anteil,1980,482,34.1,3.1,2.1,24.9,0,1.8,1.8,0.1,40.9,21.4,0,6.1,,,,,,,,,,,,,,,,,,,,,650,6.5,5,5.1,9.7
"Chicorée, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,55,13,0.2,0,0,0.1,0,0.7,0.6,0.1,2.4,1,0,95.7,,,,,,,,,,,,,,,,,,,,,24,0.2,1,0.2,k.A.
"Chicorée, roh",pro 100g essbarer Anteil,56,14,0.2,0.1,Sp.,0.1,0,0.7,0.6,0.1,2.5,1,0,94.7,,,,,,,,,,,,,,,,,,,,,25,0.2,1,0.2,k.A.
"Chili con carne, zubereitet",pro 100g essbarer Anteil,482,115,3.6,1,1.7,0.7,17,8.8,2.1,6.2,3.1,10.4,0.4,74.3,,,,,,,,,,,,,,,,,,,,,110,1.9,2.2,1.9,k.A.
"Chinakohl, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,64,15,0.3,0.1,0,0.1,0,1.2,1.2,0,1.9,1,0,95.6,,,,,,,,,,,,,,,,,,,,,30,0.5,0.3,0.3,k.A.
"Chinakohl, roh",pro 100g essbarer Anteil,66,16,0.3,0.1,0,0.1,0,1.2,1.2,Sp.,1.9,1.1,0,94.9,,,,,,,,,,,,,,,,,,,,,30,0.6,0.3,0.3,k.A.
Chräbeli (Anisgebäck),pro 100g essbarer Anteil,1550,366,2.9,0.7,1.1,0.7,69,75.3,40.5,34.4,2,8.6,0.2,11.6,,,,,,,,,,,,,,,,,,,,,82,1.8,8.2,0.6,5.3
"Cicorino rot, roh",pro 100g essbarer Anteil,79,19,0.1,0,Sp.,0.1,0,1.6,1.6,0,3,1.4,0,94,,,,,,,,,,,,,,,,,,,,,30,0.3,Sp.,0.2,k.A.
"Cocktailsauce, mit Rapsöl-Mayonnaise, hausgemacht",pro 100g essbarer Anteil,2870,696,74.5,6.2,43.6,19.6,157,3.9,3.7,0.2,0.2,2.4,0.7,19,,,,,,,,,,,,,,,,,,,,,77,0.9,14,0.5,k.A.
"Colagetränk, gezuckert",pro 100 ml,170,40,0,0,0,0,0,10,10,0,0,0,0,89,,,,,,,,,,,,,,,,,,,,,15,Sp.,2,0,k.A.
"Colagetränk, mit Süssstoffen",pro 100 ml,1,0,Sp.,Sp.,Sp.,Sp.,0,0,0,Sp.,0,0,0,99.8,,,,,,,,,,,,,,,,,,,,,8,0,1,0.1,k.A.
"Coleslaw Salat, zubereitet",pro 100g essbarer Anteil,497,120,10.3,1.8,2.9,5.1,19,4.2,4.1,0.1,2.1,1.6,0.2,81.8,,,,,,,,,,,,,,,,,,,,,45,0.3,5.1,0.2,k.A.
Coppa,pro 100g essbarer Anteil,1330,319,22.5,8.5,9.9,1.6,81,0.3,0.3,Sp.,0,28.8,3.8,43.9,,,,,,,,,,,,,,,,,,,,,270,1.4,Sp.,4.3,15
"Cordon Bleu aus Kalbsplätzli, gebraten",pro 100g essbarer Anteil,979,234,11,3.1,5.6,1.2,96,10.4,0.7,9.7,0.6,22.9,0.9,55.2,,,,,,,,,,,,,,,,,,,,,260,2,5.9,2.5,k.A.
"Cordon Bleu aus Schweinsplätzli, gebraten",pro 100g essbarer Anteil,1010,241,11.7,3.2,5.9,1.3,94,10.4,0.7,9.7,0.6,23.2,0.9,54.2,,,,,,,,,,,,,,,,,,,,,230,1.6,6.5,2.7,k.A.
Cornflakes,pro 100g essbarer Anteil,1540,363,0.6,0.1,0.2,0.2,0,79.7,7.2,72.5,4,7.7,2.4,5.1,,,,,,,,,,,,,,,,,,,,,59,2,1,0.3,k.A.
Cotechino,pro 100g essbarer Anteil,1860,450,42.3,14,20.3,6,98,0,0,0,0,17.2,4.4,36.8,,,,,,,,,,,,,,,,,,,,,110,2.1,Sp.,4.1,k.A.
Cotto (Fleischerzeugnis),pro 100g essbarer Anteil,392,93,3.1,1.2,1.5,0.2,35,0.6,0.6,k.A.,0,15.7,2.3,77,,,,,,,,,,,,,,,,,,,,,240,0.7,k.A.,2.1,7.4
"Cracker, Salzgebäck, Apérogebäck",pro 100g essbarer Anteil,1890,449,15.9,5.9,6.8,2.4,0,66.3,0,66.3,2.1,9.2,1.5,6.5,,,,,,,,,,,,,,,,,,,,,110,1.6,13,0.7,k.A.
Crèmeschnitte,pro 100g essbarer Anteil,1260,301,18.8,11.2,4.6,1,80,28.8,21.3,7.4,0.3,4.1,0.3,48.1,,,,,,,,,,,,,,,,,,,,,88,0.3,9.1,0.4,k.A.
"Crêpes mit Camembert, zubereitet",pro 100g essbarer Anteil,1030,247,15.5,8.2,4,1.2,142,14.9,2.3,12.5,0.6,11.9,0.8,57.2,,,,,,,,,,,,,,,,,,,,,180,0.8,21,1.2,k.A.
"Crêpes mit Champignonfüllung, zubereitet",pro 100g essbarer Anteil,578,139,8.9,4.8,2.2,0.7,68,7.9,1.8,5.7,1.6,5.9,0.4,76.4,,,,,,,,,,,,,,,,,,,,,130,1.1,20,0.7,k.A.
"Crêpes mit Gemüsefüllung, zubereitet",pro 100g essbarer Anteil,689,165,9.3,4,3.1,0.9,95,13.6,4,9.4,1.6,6,0.2,69.7,,,,,,,,,,,,,,,,,,,,,110,0.9,14,0.7,k.A.
"Crêpes mit Nutella, zubereitet",pro 100g essbarer Anteil,1570,377,22.1,9,9.1,2.3,88,35.8,26.4,8.9,1.7,7.9,0.3,32.8,,,,,,,,,,,,,,,,,,,,,160,1.1,13,1,k.A.
"Crêpes mit Schinken, zubereitet",pro 100g essbarer Anteil,807,193,9.7,4.7,2.8,0.9,124,13.2,2.2,10.9,0.5,12.9,1,63.9,,,,,,,,,,,,,,,,,,,,,210,0.9,15,1.3,8.8
"Crêpes mit Speck, zubereitet",pro 100g essbarer Anteil,1050,253,16.3,7.4,5.6,1.4,137,15,2.4,12.5,0.6,11.3,0.9,57,,,,,,,,,,,,,,,,,,,,,160,0.9,16,1.2,9.6
"Crêpes mit Zimt und Zucker, zubereitet",pro 100g essbarer Anteil,1070,254,11.5,5.7,3.1,1.1,141,29,14.9,14,0.7,8.3,0.3,50.7,,,,,,,,,,,,,,,,,,,,,140,1,18,0.8,8
"Crêpes nature, zubereitet",pro 100g essbarer Anteil,977,234,13.2,6.6,3.6,1.2,161,19,2.9,15.9,0.7,9.4,0.4,57.8,,,,,,,,,,,,,,,,,,,,,160,1,21,1,9.1
"Crevettencocktail, zubereitet",pro 100g essbarer Anteil,695,168,13.3,7.8,3.1,0.7,97,4.2,3.6,0.2,0.3,4.5,0.4,75.9,,,,,,,,,,,,,,,,,,,,,100,0.3,35,0.4,k.A.
Croque Monsieur ,pro 100g essbarer Anteil,1230,294,14.1,5.3,4.7,2.9,40,24.7,1.7,22.7,1.4,16.5,2.3,43.5,,,,,,,,,,,,,,,,,,,,,360,0.7,14,1.9,10
"Dattel, getrocknet",pro 100g essbarer Anteil,1290,305,0.5,Sp.,Sp.,Sp.,0,69,69,0,7.1,2.5,0,17.5,,,,,,,,,,,,,,,,,,,,,74,3,1,0.3,k.A.
"Dinkelmehl, Ruch, Typ 1100",pro 100g essbarer Anteil,1480,348,2.2,0.3,0.5,1.2,k.A.,65,1.4,k.A.,5.7,14.3,0.1,12.7,,,,,,,,,,,,,,,,,,,,,240,2.4,k.A.,2.8,k.A.
"Dinkelmehl, Vollkorn, Typ 1900",pro 100g essbarer Anteil,1460,346,2.7,0.4,0.7,1.5,k.A.,60,1.2,k.A.,9.4,15.6,0,12.4,,,,,,,,,,,,,,,,,,,,,450,3.6,k.A.,4.5,6.8
"Dinkelmehl, weiss, Typ 550",pro 100g essbarer Anteil,1480,348,1.5,0.3,0.3,0.7,0,69,0.9,68.1,2.8,13.3,0,13.1,,,,,,,,,,,,,,,,,,,,,110,1,0.9,0.9,2.3
Distelöl,pro 100 ml,3330,810,90,8.5,9.9,68,0,0,0,0,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Doppelrahm, pasteurisiert",pro 100g essbarer Anteil,1930,468,50,30,11.7,2.3,147,2.7,2.7,0,0,1.9,0.1,46.9,,,,,,,,,,,,,,,,,,,,,52,0.1,35,0.2,k.A.
"Dörrbohne, eingeweicht, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,264,63,0.5,0.1,0,0.3,0,6.4,2.4,2.6,6.3,5.1,0,81.7,,,,,,,,,,,,,,,,,,,,,99,1.8,6.3,0.6,k.A.
"Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,305,72,0.5,0.1,0,0.2,74,0,0,0,0,17,0.1,82.6,,,,,,,,,,,,,,,,,,,,,210,0.2,180,0.5,26
"Dorsch, roh",pro 100g essbarer Anteil,323,76,0.4,0.1,0,0.2,59,0,0,0,0,18.1,0.1,81.1,,,,,,,,,,,,,,,,,,,,,200,0.2,160,0.4,23
Dulce de Leche,pro 100g essbarer Anteil,1260,299,7.3,4.4,1.7,0.3,28,52.6,52.6,0,0,5.7,0.2,34.2,,,,,,,,,,,,,,,,,,,,,160,0.1,17,0.6,1.9
"Edelkastanie, roh",pro 100g essbarer Anteil,887,210,1.9,0.3,1,0.5,0,41.2,14,27,8.4,2.9,0,44.9,,,,,,,,,,,,,,,,,,,,,59,2.1,0.1,1,1.8
"Egli, roh",pro 100g essbarer Anteil,334,79,0.7,0.1,0.1,0.3,70,0,0,0,0,18,0.2,80.4,,,,,,,,,,,,,,,,,,,,,370,0.9,4,1.1,27
"Eierlikör, 16.5 vol%",pro 100 ml,1310,313,7.7,2.2,3.2,1.1,165,30.8,30.8,0,0,4.4,0,51.5,,,,,,,,,,,,,,,,,,,,,55,0.8,1.1,0.5,k.A.
"Eieromeletten mit Käse, zubereitet",pro 100g essbarer Anteil,796,192,14.5,6.4,4.4,1.5,275,1.2,1.2,0,0.1,14,1,70.1,,,,,,,,,,,,,,,,,,,,,260,1.4,32,1.7,k.A.
"Eieromeletten mit Schinken, zubereitet",pro 100g essbarer Anteil,596,143,9.6,3.3,3.3,1.3,266,1.3,1.3,0,0.1,12.8,1,76.2,,,,,,,,,,,,,,,,,,,,,210,1.5,31,1.3,16
"Eieromeletten mit Speck, zubereitet",pro 100g essbarer Anteil,729,175,13.4,4.8,5.1,1.6,268,1.3,1.3,0,0.1,12.5,0.7,72.8,,,,,,,,,,,,,,,,,,,,,180,1.4,30,1.3,17
"Eieromeletten, zubereitet",pro 100g essbarer Anteil,627,151,11.1,3.8,3.8,1.5,310,1.4,1.4,0,0,11.4,0.8,76.1,,,,,,,,,,,,,,,,,,,,,190,1.5,36,1.1,18
"Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,115,28,0.6,0.1,0,0.3,0,0.2,0.2,0,5.7,2.6,0,91.7,,,,,,,,,,,,,,,,,,,,,51,6.7,3.5,0.6,k.A.
"Eierschwamm, roh",pro 100g essbarer Anteil,98,24,0.5,0.1,0,0.3,0,0.2,0.2,0,4.7,2.3,0,91.5,,,,,,,,,,,,,,,,,,,,,44,6.5,3,0.6,k.A.
"Eisbergsalat, roh",pro 100g essbarer Anteil,65,16,0.2,0,0,0.1,0,1.6,1.6,0,1.8,1,0,94.6,,,,,,,,,,,,,,,,,,,,,22,0.5,2,0.2,k.A.
"Eistee, gezuckert",pro 100g essbarer Anteil,128,30,0,0,0,0,0,7.5,7.5,0,0,0,0,92.5,,,,,,,,,,,,,,,,,,,,,0.9,0,0.9,0,k.A.
"Emmentaler, vollfett",pro 100g essbarer Anteil,1690,408,32.6,20.3,7.9,1.5,84,0,0,0,0,28.4,0.4,35,,,,,,,,,,,,,,,,,,,,,620,0.4,20,4.6,k.A.
"Endivie, roh",pro 100g essbarer Anteil,68,16,0.2,0.1,0,0.1,0,1.2,1.2,Sp.,1.2,1.8,0.1,94.2,,,,,,,,,,,,,,,,,,,,,54,1.4,2.9,0.4,k.A.
"Energy Drink, gezuckert",pro 100 ml,185,44,0,0,0,0,0,10.9,10.8,0,k.A.,0,0.2,88.1,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0.1
Engadiner Nusstorte,pro 100g essbarer Anteil,2010,481,27.7,10.2,6.2,8.7,62,49.9,30.9,18.2,2,7,0,14.1,,,,,,,,,,,,,,,,,,,,,110,0.8,4.5,0.8,k.A.
Erbse (Konserve) ,pro 100g essbarer Anteil,366,87,0.8,0.1,0.1,0.4,0,12.8,Sp.,4.4,5,4.8,0.7,76,,,,,,,,,,,,,,,,,,,,,83,1.6,5.2,0.6,k.A.
"Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz)",pro 100g essbarer Anteil,374,89,0.8,0.1,0.1,0.4,0,13.1,0,4.5,5.1,4.9,0.6,76.2,,,,,,,,,,,,,,,,,,,,,84,1.4,5.3,0.5,k.A.
"Erbse, grün, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,419,100,0.8,0.1,0.1,0.4,0,13.2,6.1,6.8,6.6,6.6,0,72.7,,,,,,,,,,,,,,,,,,,,,140,1.8,4.6,0.8,k.A.
"Erbse, grün, roh",pro 100g essbarer Anteil,380,90,0.7,0.1,0.1,0.4,0,12,5.5,6.2,6,6,0,74.5,,,,,,,,,,,,,,,,,,,,,130,1.9,4.2,0.8,k.A.
"Erbse, reif, getrocknet",pro 100g essbarer Anteil,1400,331,1.7,0.3,0.3,0.7,0,51.9,2.8,39.4,11.6,21.3,0,11.2,,,,,,,,,,,,,,,,,,,,,360,4.3,1.3,3.1,k.A.
"Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,579,137,0.7,0.1,0.1,0.3,0,21.2,1.1,16.1,5,9,0,64.2,,,,,,,,,,,,,,,,,,,,,140,1.6,0.5,1.2,k.A.
Erbsen und Karotten (Konserve),pro 100g essbarer Anteil,281,67,0.5,0.1,0,0.2,0,9.5,5.8,3.6,4.5,3.7,1,81.7,,,,,,,,,,,,,,,,,,,,,83,1.2,3.3,0.5,k.A.
"Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz)",pro 100g essbarer Anteil,287,68,0.5,0.1,0,0.3,0,9.7,5.9,3.7,4.6,3.8,0.9,81.3,,,,,,,,,,,,,,,,,,,,,84,1,3.3,0.5,k.A.
"Erdbeere, roh",pro 100g essbarer Anteil,167,40,0.5,Sp.,0.1,0.3,0,7,7,0,2.2,0.7,0,89.9,,,,,,,,,,,,,,,,,,,,,23,0.4,1,0.1,k.A.
Erdnuss,pro 100g essbarer Anteil,2580,623,49.1,8.4,25.5,12.9,0,14.8,5.9,5,8.6,26.1,0,2.2,,,,,,,,,,,,,,,,,,,,,380,1.6,13,4,30
Erdnuss-Flips,pro 100g essbarer Anteil,2120,507,24.2,4.4,11.7,6.9,0,56.5,Sp.,Sp.,4.9,13.2,1.9,1.5,,,,,,,,,,,,,,,,,,,,,110,0.9,5,0.8,k.A.
"Erdnuss, geröstet, gesalzen",pro 100g essbarer Anteil,2610,631,50,8.6,24.7,12.4,0,15,4.2,8.9,8,26.2,1.3,1.2,,,,,,,,,,,,,,,,,,,,,240,1.2,5.7,2.9,4.8
Erdnussbutter,pro 100g essbarer Anteil,2630,636,51.8,12.8,19.9,16.9,0,12.5,6.4,5.8,7.6,26.1,0.9,1.1,,,,,,,,,,,,,,,,,,,,,330,2,Sp.,3,3
Erdnussöl,pro 100 ml,3330,810,90,14.9,44.6,23.3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Espresso crème, ungezuckert",pro 100g essbarer Anteil,116,28,2.5,1.5,0.6,0.1,8,0.8,0.7,0,0.1,0.5,0,96.1,,,,,,,,,,,,,,,,,,,,,17,0,1.9,0,k.A.
Essig,pro 100 ml,93,22,0,0,0,0,0,0.7,0.3,0,0,0.1,0,93.4,,,,,,,,,,,,,,,,,,,,,12,0.2,<5,0.2,k.A.
"Essig-Öl-Salatsauce, hausgemacht (mit Rapsöl)",pro 100 ml,1300,315,33.1,2.4,19.7,8.9,0,3,2.8,0,0.9,0.9,0.7,62.1,,,,,,,,,,,,,,,,,,,,,27,0.2,3.4,0.2,k.A.
"Falafel, frittiert (in HOLL Rapsöl frittiert)",pro 100g essbarer Anteil,931,222,7.8,0.7,5,1.8,0,26.3,2.3,23.9,6.4,8.4,0.7,51.2,,,,,,,,,,,,,,,,,,,,,130,1.6,0.9,0.8,k.A.
Fasnachtschüechli,pro 100g essbarer Anteil,2310,553,32.9,16.1,10.5,2.6,159,51.7,1.9,49.2,2.3,11.5,0.1,2.3,,,,,,,,,,,,,,,,,,,,,100,0.8,13,0.7,k.A.
"Federkohl, gedünstet (ohne Zugabe von Salz und Fett)",pro 100g essbarer Anteil,195,47,1,0.1,0,0.5,0,2.7,2.7,0,4.5,4.6,0.1,87.3,,,,,,,,,,,,,,,,,,,,,84,1.4,4.8,0.4,k.A.
"Federkohl, roh",pro 100g essbarer Anteil,183,44,0.9,0.1,0,0.5,0,2.5,2.5,0,4.2,4.3,0.1,85.9,,,,,,,,,,,,,,,,,,,,,79,1.3,4.5,0.3,k.A.
"Feige, getrocknet",pro 100g essbarer Anteil,1150,273,1.2,0.2,0.3,0.6,0,56.8,56.8,0,11,3.2,0,25,,,,,,,,,,,,,,,,,,,,,71,2.5,4,0.9,k.A.
"Feige, roh",pro 100g essbarer Anteil,314,74,0.3,0,0.1,0.2,0,15.5,15.5,0,3,0.9,0,79.5,,,,,,,,,,,,,,,,,,,,,23,0.8,1.5,0.2,k.A.
"Felche, roh",pro 100g essbarer Anteil,425,101,2.7,0.6,0.6,0.6,54,0,0,0,0,19.2,0.1,76.6,,,,,,,,,,,,,,,,,,,,,230,0.4,1.5,0.6,21
"Fenchel, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,90,22,0.3,0,0,0,0,2.2,0.1,2.1,3.1,1,0,93.4,,,,,,,,,,,,,,,,,,,,,36,0.4,4.8,0.3,k.A.
"Fenchel, roh",pro 100g essbarer Anteil,95,23,0.3,Sp.,Sp.,Sp.,0,2.3,0.1,2.2,3.3,1.1,0,92.2,,,,,,,,,,,,,,,,,,,,,38,0.5,5,0.3,k.A.
Fermentierter Teig,pro 100g essbarer Anteil,841,199,0.9,0.1,0.1,0.4,0,38.3,0.3,37.7,3,7.8,1.2,50.6,,,,,,,,,,,,,,,,,,,,,110,1.5,0.9,1.1,3.5
"Fisch (Durchschnitt), Filet, gedämpft (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,612,146,7.5,1.5,2.4,1.9,59,0,0,0,0,19.6,0.2,72.8,,,,,,,,,,,,,,,,,,,,,240,0.8,50,0.7,k.A.
"Fisch (Durchschnitt), roh ",pro 100g essbarer Anteil,612,146,6.9,1.4,2.2,1.7,47,0,0,0,0,20.9,0.2,72.1,,,,,,,,,,,,,,,,,,,,,230,0.8,45,0.6,k.A.
"Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl",pro 100g essbarer Anteil,1250,300,18.6,1.4,11.9,4.1,51,16.6,0.1,16.4,0.9,16,0.6,48.1,,,,,,,,,,,,,,,,,,,,,140,0.4,97,0.5,k.A.
"Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett)",pro 100g essbarer Anteil,1040,248,12.2,1,7,3.4,53,17.4,0.1,17.2,1,16.8,0.6,52.9,,,,,,,,,,,,,,,,,,,,,150,0.4,100,0.6,k.A.
"Fischstäbchen, paniert und vorfritiert",pro 100g essbarer Anteil,962,230,11.7,0.9,6.7,3.2,47,15.3,0.1,15.1,0.8,15.5,0.6,56.9,,,,,,,,,,,,,,,,,,,,,150,0.5,89,0.5,k.A.
"Flammenkuchen, gebacken",pro 100g essbarer Anteil,1060,254,13.8,6.7,4.8,1,33,22.9,2.3,20.3,1.4,9,1,53.2,,,,,,,,,,,,,,,,,,,,,100,0.4,4.5,0.9,k.A.
"Flammenkuchenteig, ungebacken",pro 100g essbarer Anteil,934,221,2.9,1.4,0.6,0.5,6,39.9,0.6,38.9,2.7,7.5,1.3,47.7,,,,,,,,,,,,,,,,,,,,,88,1.1,0.8,0.8,2.8
"Fleisch (Durchschnitt exkl. Innereien), roh ",pro 100g essbarer Anteil,611,146,6.7,2.4,2.9,0.7,62,0,0,0,0,21.4,0.1,71.9,,,,,,,,,,,,,,,,,,,,,190,1.1,2,2.7,k.A.
Fleischkäse,pro 100g essbarer Anteil,1060,256,22.3,8.8,10.8,2,51,1.4,1.4,0,0,12.5,2.3,60.1,,,,,,,,,,,,,,,,,,,,,190,0.5,0.4,1.4,6
